Event Title                                                                                                             , Event Location                                                                                         , Event Date                    , Event Time, Page Number
Lowveld Air Show 2025                                                                                                   , Nelspruit Airport                                                                                      , "Friday, May 9, 2025"         , 15:00     ,           1
Secrets of Summer New Year’s Eve 60%-Off Early Bird Tickets                                                             , Black River Park Sports Complex (Opposite Amazon)                                                      , "Wednesday, December 31, 2025", 14:00     ,           1
Magicon Wizarding Experience 2025                                                                                       , Castle da Angelo                                                                                       , "Saturday, May 10, 2025"      , 09:00     ,           1
ANNIE                                                                                                                   , Edgemead High School Hall                                                                              , "Thursday, May 8, 2025"       , 19:00     ,           1
dfcu JAZZ IN THE PEARL FESTIVAL                                                                                         , Serena Hotel                                                                                           , "Saturday, May 10, 2025"      , 17:00     ,           1
Disney's Lion King Jr                                                                                                   , National Children's Theatre                                                                            , "Saturday, April 26, 2025"    , 11:30     ,           1
The Travel Boss - Kalaithiruvizha 2025                                                                                  , Patidar Hall                                                                                           , "Saturday, May 10, 2025"      , 09:30     ,           1
Collegium Musicum                                                                                                       , Kempton Kruin                                                                                          , "Friday, May 9, 2025"         , 19:00     ,           1
Oh So 2000's Barbie Party at Destiny                                                                                    , Destiny Cape Town                                                                                      , "Friday, May 9, 2025"         , 20:00     ,           1
GODSPELL                                                                                                                , The Wykeham Collegiate Theatre                                                                         , "Tuesday, May 6, 2025"        , 19:00     ,           1
Shrek                                                                                                                   , Orban School Hall                                                                                      , "Friday, May 9, 2025"         , 15:30     ,           1
Disney Aladdin Jr.                                                                                                      , Table View Primary School                                                                              , "Wednesday, May 7, 2025"      , 19:00     ,           1
HABITAT ~ Volcanic Sky 25'                                                                                              , Cloof Wine Estate                                                                                      , "Saturday, May 10, 2025"      , 12:00     ,           2
1-YEAR CELEBRATION RUN                                                                                                  , Starbucks Menlyn Maine                                                                                 , "Saturday, May 10, 2025"      , 07:00     ,           2
Nataniël in Concert                                                                                                     , Kuswag School                                                                                          , "Friday, May 9, 2025"         , 18:30     ,           2
